state,idxs,pop,pop_18,pop_60
Malaysia,0,32750000,23409600,3502000
Johor,1,3795300,2711900,428700
Kedah,2,2192800,1540600,272500
Kelantan,3,1923000,1236200,194100
Melaka,4,935600,677400,118500
Negeri Sembilan,5,1130400,814400,145000
Pahang,6,1683300,1175800,190200
Pulau Pinang,7,1776700,1367200,239200
Perak,8,2510200,1862700,397300
Perlis,9,255300,181200,35100
Selangor,10,6560900,4747900,575800
Terengganu,11,1269700,808400,115200
Sabah,12,3912600,2758400,238900
Sarawak,13,2823300,2042700,332800
W.P. Kuala Lumpur,14,1766700,1348600,205800
W.P. Labuan,15,99800,68500,7900
W.P. Putrajaya,16,114900,67700,5000
